Start	End	Color
38237	48305	#0000FF
48305	57619	#0000FF
57619	67029	#0000FF
67029	74007	#0000FF
161640	168274	#0000FF
177325	183378	#0000FF
249394	252960	#0000FF
325323	328076	#0000FF
334767	336868	#0000FF
414555	417179	#0000FF
425563	434191	#0000FF
470429	476467	#0000FF
474724	480989	#0000FF
481370	506397	#0000FF
506397	530325	#0000FF
530325	555355	#0000FF
555355	579784	#0000FF
579784	585103	#0000FF
602682	611250	#0000FF
649070	652111	#0000FF
672856	676539	#0000FF
684053	692293	#0000FF
807075	812327	#0000FF
812327	817657	#0000FF
822269	825209	#0000FF
832067	837210	#0000FF
843938	849143	#0000FF
849421	856973	#0000FF
859239	864391	#0000FF
887458	889696	#0000FF
898074	936408	#0000FF
1011309	1015822	#0000FF
1026026	1033328	#0000FF
