Start	End	Color
182149	184656	#0000FF
184656	187902	#0000FF
212552	245886	#0000FF
245886	248404	#0000FF
248404	251650	#0000FF
257020	260810	#0000FF
261932	266659	#0000FF
272368	309102	#0000FF
309102	312219	#0000FF
314195	320081	#0000FF
330643	334047	#0000FF
340394	345711	#0000FF
350457	353627	#0000FF
548721	550808	#0000FF
549144	552103	#0000FF
551413	557485	#0000FF
596592	599846	#0000FF
605472	617568	#0000FF
627840	629938	#0000FF
662229	665988	#0000FF
714450	743129	#0000FF
877543	880359	#0000FF
894270	947737	#0000FF
1073198	1094072	#0000FF
1097685	1100646	#0000FF
1100713	1105144	#0000FF
1135913	1146921	#0000FF
1272212	1286910	#0000FF
