G1_start	G1_end	G2_start	G2_end	PI
13939	151760	13941	147450	96.41
151969	249658	147439	245185	99.48
249614	340701	245164	328491	90.49
340641	404648	328439	392413	99.37
428846	481199	416663	469062	99.53
481187	590404	469063	578263	99.74
616130	653446	605519	642814	99.23
654912	704401	642794	692301	99.61
704059	831647	691911	819497	99.68
831640	921761	819481	909620	99.78
921655	1025710	909444	1013474	99.93
1025634	1056974	1013377	1044717	99.9
1056898	1151548	1044652	1139281	99.38
1209492	1292250	1206232	1288982	99.7
