Start	End	Color
44935	54870	#0000FF
54870	64132	#0000FF
64132	73646	#0000FF
73646	82765	#0000FF
82765	87986	#0000FF
122895	128567	#0000FF
190799	195306	#0000FF
237729	241216	#0000FF
261322	268560	#0000FF
289814	295252	#0000FF
312540	315992	#0000FF
326872	331665	#0000FF
334339	336980	#0000FF
379732	383398	#0000FF
437780	441553	#0000FF
457606	465399	#0000FF
468450	471103	#0000FF
471355	476387	#0000FF
545110	549199	#0000FF
569105	578912	#0000FF
600304	608632	#0000FF
695175	703461	#0000FF
731280	735206	#0000FF
775872	778724	#0000FF
800684	805682	#0000FF
822852	832640	#0000FF
844507	868707	#0000FF
868707	892903	#0000FF
892903	917531	#0000FF
917531	927736	#0000FF
950447	957908	#0000FF
971345	973783	#0000FF
1018758	1023708	#0000FF
1073905	1078482	#0000FF
1077500	1093746	#0000FF
1100016	1108771	#0000FF
1108858	1113864	#0000FF
1113852	1130027	#0000FF
1155492	1161159	#0000FF
1205947	1241987	#0000FF
1315178	1320133	#0000FF
