G1_start	G1_end	G2_start	G2_end	PI
14024	45047	14027	45049	99.78
44196	110914	44136	110840	99.73
110890	187330	110828	187367	99.38
187310	269151	187356	269205	99.82
480261	591457	310579	421795	99.37
633445	693933	1811190	1750743	99.76
693924	736004	1750728	1708679	99.66
735789	811246	1708890	1634165	97.67
811231	992890	1634162	1452488	99.97
992834	1209110	1452537	1236272	99.85
1238428	1312949	1206883	1132325	99.71
1312950	1355792	1132349	1089495	99.03
1355733	1428408	1086922	1014636	98.92
1449628	1499069	937425	888010	99.28
1499019	1608868	888067	777453	97.79
1608838	1770246	776572	615163	99.61
1770250	1838662	615188	546796	99.62
1838543	1885351	546898	500111	99.81
