Start	End	Color
39191	49276	#0000FF
49276	58628	#0000FF
58628	67632	#0000FF
67632	77311	#0000FF
77311	86370	#0000FF
86370	94796	#0000FF
205338	210595	#0000FF
222774	225855	#0000FF
241432	245573	#0000FF
268579	273187	#0000FF
273188	276663	#0000FF
322855	325218	#0000FF
346815	349594	#0000FF
357808	363186	#0000FF
375691	381394	#0000FF
398397	409136	#0000FF
409136	420000	#0000FF
420000	422425	#0000FF
422425	440584	#0000FF
476789	501052	#0000FF
501052	525291	#0000FF
525291	549140	#0000FF
549140	572989	#0000FF
572989	581215	#0000FF
581556	605392	#0000FF
605392	615496	#0000FF
615837	625938	#0000FF
626279	650561	#0000FF
650561	671771	#0000FF
672375	682088	#0000FF
700406	707559	#0000FF
738643	742058	#0000FF
759852	762792	#0000FF
762792	776871	#0000FF
785682	788745	#0000FF
794056	801202	#0000FF
827470	832524	#0000FF
882901	885984	#0000FF
892487	897406	#0000FF
897074	906074	#0000FF
906074	915082	#0000FF
915082	924090	#0000FF
924090	926413	#0000FF
944924	948578	#0000FF
961408	964373	#0000FF
968085	970473	#0000FF
997035	1000144	#0000FF
1088545	1096453	#0000FF
