G1_start	G1_end	G2_start	G2_end	PI
28208	75049	28205	75054	99.33
75036	207793	75057	207835	99.81
207793	354024	207845	354074	99.91
353489	439783	353526	439923	98.85
440757	471097	439897	470230	99.2
471037	552651	470149	551863	99.15
552666	616114	551858	615358	98.84
616098	678895	615333	678012	99.31
678891	749251	677996	748416	99.44
775121	826571	780159	831410	98.81
826559	900790	834677	909269	96.99
905340	988962	962457	1046074	99.67
988922	1061073	1046042	1118200	99.01
1066991	1105301	1120160	1158464	99.25
1105285	1154508	1158460	1207681	98.78
1163545	1249549	1223950	1309962	99.6
1249535	1285965	1316043	1352464	99.76
1285921	1365462	1352363	1431994	98.29
