G1_start	G1_end	G2_start	G2_end	PI
2	45131	1	45212	98.78
58381	159832	55016	154395	96.02
159790	318613	154359	313032	91.94
322527	413389	313019	402840	98.06
413171	446692	402619	436165	99.5
446681	511077	436140	500481	99.33
511055	584150	504494	577455	98.25
584156	675496	577452	668775	99.48
702473	764695	703590	765866	98.92
764658	850460	765789	851615	99.49
850377	894790	851564	895985	99.43
894877	940512	895984	941632	99.61
940523	1010199	941627	1011299	99.26
1010169	1064010	1011285	1064983	99.19
