Start	End	Color
175656	339781	#0000FF
339781	424679	#0000FF
424679	512688	#0000FF
512688	590032	#0000FF
619155	622401	#0000FF
635854	640750	#0000FF
640060	644537	#0000FF
646446	654233	#0000FF
685354	688661	#0000FF
768633	790280	#0000FF
842174	855227	#0000FF
1096747	1122945	#0000FF
1257009	1262452	#0000FF
1262375	1268061	#0000FF
1340018	1342033	#0000FF
1369937	1372831	#0000FF
1372831	1399611	#0000FF
1400887	1425248	#0000FF
1425248	1429940	#0000FF
1429940	1459448	#0000FF
1467676	1485574	#0000FF
1503440	1507786	#0000FF
1529146	1553379	#0000FF
1562045	1596614	#0000FF
1597441	1632021	#0000FF
1809804	1820258	#0000FF
1839841	1847014	#0000FF
1854242	1865336	#0000FF
1878254	1890820	#0000FF
1896621	1911102	#0000FF
1932424	1938908	#0000FF
1958839	2047274	#0000FF
2047274	2057071	#0000FF
