G1_start	G1_end	G2_start	G2_end	PI
10921	75136	10932	75119	99.4
74959	117252	74942	117244	99.75
117246	149406	117228	149444	99.39
149215	210974	149253	211155	99.36
234734	293280	234857	293400	99.52
293265	352076	293355	352124	99.65
352078	408761	351679	408398	99.41
408640	520416	408312	519723	99.06
520406	600809	519698	600098	99.9
600350	717528	599643	717156	99.5
717545	761561	717157	761210	99.58
761585	844908	761205	848762	94.53
844814	891382	848691	894985	98.59
919587	971255	923123	978051	93.72
