Start	End	Color
38982	49175	#0000FF
49175	58794	#0000FF
58794	68407	#0000FF
68407	77520	#0000FF
77520	84685	#0000FF
168019	171415	#0000FF
172261	178061	#0000FF
187910	196870	#0000FF
220658	223612	#0000FF
240916	247824	#0000FF
256626	265510	#0000FF
281217	284351	#0000FF
284210	287997	#0000FF
336615	350837	#0000FF
360087	362827	#0000FF
362389	385772	#0000FF
398870	416201	#0000FF
448276	461125	#0000FF
478075	486483	#0000FF
534253	549367	#0000FF
566527	575128	#0000FF
596797	599537	#0000FF
599626	603421	#0000FF
627481	647156	#0000FF
682356	684497	#0000FF
691586	703654	#0000FF
717310	729133	#0000FF
729133	740376	#0000FF
740376	745419	#0000FF
748389	779027	#0000FF
780209	810809	#0000FF
815114	818195	#0000FF
843627	851178	#0000FF
952172	959469	#0000FF
