Start	End	Color
93655	101431	#0000FF
115053	117253	#0000FF
121319	125790	#0000FF
123942	126420	#0000FF
129688	131897	#0000FF
137227	147545	#0000FF
147545	164820	#0000FF
164820	167820	#0000FF
169814	179287	#0000FF
179287	237318	#0000FF
237318	251770	#0000FF
251770	254321	#0000FF
254321	271690	#0000FF
271690	274037	#0000FF
274037	571798	#0000FF
571798	875435	#0000FF
914020	935940	#0000FF
935940	939206	#0000FF
939206	989547	#0000FF
1012714	1063054	#0000FF
1063054	1066320	#0000FF
1066320	1088207	#0000FF
1167200	1470482	#0000FF
1470482	1792028	#0000FF
1792028	1809378	#0000FF
1809378	1811713	#0000FF
1811713	1814261	#0000FF
1814261	1871974	#0000FF
1871974	1886796	#0000FF
1886796	1896292	#0000FF
1905247	1909004	#0000FF
1915375	1926231	#0000FF
1926231	1931678	#0000FF
1931678	1942052	#0000FF
1964546	1993785	#0000FF
2060105	2084247	#0000FF
